event_id,timestamp,heart_rate,total_elapsed_time,altitude,total_distance,avg_running_cadence,total_calories,avg_speed,max_speed,total_ascent,total_descent,max_heart_rate
38,2017-11-05T17:28:08Z,161.92857142857142,2897.457,175.22857142857143,11100.97,82.0,704.0,13.856635356200528,21.6324,288.0,324.0,172.0
39,2017-11-09T01:08:43Z,156.78571428571428,3650.294,176.24285714285716,12469.82,81.14285714285714,696.0,14.221953605769231,24.2856,348.0,350.0,174.0
40,2017-11-09T20:41:47Z,146.75,1831.906,173.8,6437.36,79.5,387.0,12.559964876033058,15.8544,175.0,339.0,190.0
41,2017-11-11T20:43:29Z,150.5,2814.346,164.73333333333338,9656.039999999999,80.83333333333333,615.0,12.543183965330444,18.1044,273.0,274.0,165.0
42,2017-11-12T22:04:14Z,166.125,2988.116,134.5,12874.72,81.5,784.0,15.490298537234043,18.9468,473.0,403.0,172.0
43,2017-11-14T00:43:58Z,158.9,5680.408,178.96,16093.4,81.8,987.0,12.374239983253087,28.0152,437.0,516.0,180.0
44,2017-11-16T00:57:05Z,165.84615384615384,1920.3139999999999,174.13846153846154,6952.39,81.61538461538461,394.0,14.429216884572282,22.104,153.0,215.0,175.0
45,2017-11-18T23:24:12Z,156.25,2023.9450000000002,185.99999999999997,6437.36,79.5,400.0,12.493298528713812,22.2048,250.0,321.0,170.0
46,2017-11-21T00:46:29Z,159.83333333333334,2645.713,178.5333333333333,9656.039999999999,80.66666666666667,614.0,13.79728085106383,33.858,238.0,279.0,201.0
47,2017-11-23T00:23:57Z,153.0,409.381,170.79999999999995,1609.34,82.0,100.0,13.468698837209304,23.4792,34.0,56.0,201.0
49,2017-11-23T15:05:15Z,167.66666666666666,1026.276,199.26666666666665,4828.0199999999995,82.66666666666667,262.0,16.938996610169493,23.1768,79.0,79.0,176.0
50,2017-11-23T15:27:14Z,94.0,324.81,196.4,737.38,81.0,49.0,12.971135294117648,14.31,20.0,11.0,160.0
51,2017-11-24T22:54:46Z,148.5,2691.827,208.4,9656.039999999999,80.66666666666667,586.0,12.884716426512968,18.342,265.0,279.0,196.0
52,2017-11-30T01:02:15Z,116.0,789.283,179.89999999999998,2412.12,80.5,136.0,13.795620408163266,14.4792,36.0,49.0,171.0
53,2017-11-30T01:21:19Z,170.0,230.178,176.6,1277.2,86.0,62.0,19.84047344262295,20.6568,13.0,15.0,174.0
55,2017-12-05T00:41:43Z,163.0,1196.079,170.4,4828.0199999999995,81.0,304.0,14.473144794188862,20.5236,233.0,273.0,169.0
56,2017-12-09T01:23:43Z,155.1,4603.393,190.24,16093.4,81.4,1035.0,13.092103035795196,19.515600000000003,646.0,643.0,169.0
57,2017-12-10T22:18:57Z,146.6,2711.2129999999997,173.72000000000003,8046.7,80.2,471.0,12.732778136059771,20.8584,180.0,187.0,170.0
58,2017-12-12T00:45:07Z,161.0,2272.283,183.95999999999998,8046.7,82.4,491.0,13.525351301964369,20.3904,152.0,161.0,170.0
59,2017-12-16T20:13:33Z,159.0,2143.752,167.35999999999999,8046.7,80.8,513.0,13.677973953488372,21.5316,295.0,338.0,176.0
60,2017-12-17T17:33:11Z,146.4,2218.09,171.68,8046.7,82.0,497.0,13.322674932614555,17.3664,200.0,249.0,170.0
61,2017-12-19T00:16:45Z,167.0,1146.49,175.53333333333333,4828.0199999999995,82.33333333333333,294.0,15.05960822622108,25.1604,206.0,201.0,173.0
62,2017-12-23T15:06:34Z,161.5,2609.467,174.0666666666667,9656.039999999999,81.5,645.0,13.279226004893394,17.1648,485.0,491.0,174.0
63,2017-12-25T05:54:24Z,160.25,2457.232,213.1,6437.36,82.25,427.0,12.5771191959799,16.729200000000002,176.0,206.0,174.0
64,2018-01-06T15:07:49Z,165.15384615384616,5907.679,173.60000000000002,20921.42,82.15384615384616,1483.0,12.748115062972293,20.1888,478.0,492.0,174.0
66,2018-01-09T00:45:01Z,155.0,1394.531,162.4666666666666,4828.0199999999995,81.0,300.0,13.029837372262774,15.753600000000002,307.0,320.0,167.0
67,2018-01-10T13:19:45Z,156.0,1838.013,182.29999999999998,6437.36,80.5,424.0,12.71484255319149,15.1812,243.0,258.0,171.0
68,2018-01-11T13:29:19Z,154.0,1836.926,181.8,6437.36,81.5,421.0,12.603427422680411,14.1768,223.0,206.0,181.0
69,2018-01-13T16:01:20Z,162.8,2088.084,177.68,8046.7,81.8,500.0,13.824663157894737,19.3824,166.0,171.0,174.0
70,2018-01-14T18:38:46Z,156.33333333333334,2987.726,178.06666666666663,9656.039999999999,81.16666666666667,585.0,13.256322506687049,17.737199999999998,228.0,219.0,180.0
71,2018-01-16T00:46:15Z,158.0,1390.767,175.6,4828.0199999999995,81.0,317.0,12.475789944134078,14.2416,220.0,247.0,182.0
72,2018-01-18T13:35:52Z,156.4,2328.569,176.88000000000002,8046.7,81.4,515.0,12.390813361522198,14.5116,198.0,210.0,228.0
73,2018-01-19T13:40:35Z,158.83333333333334,2597.622,175.16666666666666,9656.039999999999,81.66666666666667,609.0,13.380630263157895,15.282,232.0,253.0,185.0
74,2018-01-20T17:55:12Z,160.0,4687.274,172.79999999999998,16093.4,81.8,968.0,14.293359301791458,18.1044,303.0,308.0,172.0
75,2018-01-21T17:51:08Z,143.5,1843.975,174.9,6437.36,80.25,386.0,12.457802911051212,15.4512,296.0,423.0,166.0
76,2018-01-23T00:42:40Z,169.33333333333334,1109.492,162.26666666666665,4828.0199999999995,81.66666666666667,282.0,15.581467012987014,18.576,217.0,217.0,181.0
77,2018-01-24T14:00:01Z,147.33333333333334,1365.587,186.80000000000004,4828.0199999999995,81.33333333333333,307.0,12.5983896373057,14.5116,259.0,250.0,175.0
78,2018-01-25T13:35:06Z,158.0,3065.7799999999997,189.4857142857143,11265.38,82.42857142857143,747.0,13.009113450292398,18.342,325.0,334.0,179.0
80,2018-01-27T14:55:45Z,163.8,3978.168,171.92000000000002,16093.4,82.9,1000.0,14.366199337748345,20.088,313.0,326.0,191.0
81,2018-01-28T15:36:12Z,145.5,1890.661,171.25,6437.36,81.5,394.0,11.970623255813951,16.0884,257.0,279.0,167.0
82,2018-01-30T00:43:15Z,155.2,2326.474,166.0,8046.7,82.2,508.0,13.070013315579228,29.592,191.0,251.0,175.0
83,2018-01-31T13:57:46Z,153.0,2287.466,176.51999999999998,8046.7,81.6,528.0,12.642837387964148,14.1084,266.0,289.0,170.0
84,2018-02-03T16:28:21Z,156.0,1705.4769999999999,174.66666666666666,4828.0199999999995,82.33333333333333,302.0,13.887714992272024,18.306,164.0,151.0,180.0
85,2018-02-13T00:53:02Z,142.0,1879.5140000000001,167.95,6437.36,81.75,406.0,13.233667730900798,17.3988,156.0,185.0,167.0
86,2018-02-24T18:53:50Z,169.0,410.481,165.39999999999998,1609.34,82.0,82.0,13.652178540772532,17.197200000000002,48.0,133.0,177.0
87,2018-02-27T00:47:14Z,151.0,1439.411,182.0666666666667,4828.0199999999995,81.0,320.0,11.981976968894772,13.6728,204.0,200.0,170.0
88,2018-03-02T21:12:31Z,164.0,470.532,158.39999999999998,1609.34,82.0,113.0,12.325215711947628,18.2052,67.0,86.0,206.0
89,2018-03-04T18:48:14Z,156.5,1870.243,169.1,6437.36,81.25,396.0,12.729148789671866,14.9148,109.0,130.0,172.0
90,2018-03-06T00:47:03Z,146.0,1561.649,187.73333333333332,4828.0199999999995,81.33333333333333,323.0,11.6968875,19.1448,191.0,274.0,175.0
91,2018-03-08T14:01:15Z,161.33333333333334,1424.542,179.73333333333335,4828.0199999999995,81.66666666666667,315.0,12.405526323218064,14.2416,133.0,122.0,189.0
92,2018-03-09T14:07:52Z,155.66666666666666,1337.801,167.79999999999998,4828.0199999999995,82.0,309.0,12.981934065934064,14.1084,145.0,158.0,175.0
93,2018-03-10T16:07:07Z,155.25,1800.795,183.35000000000002,6437.36,82.5,419.0,12.895824852071009,14.9472,121.0,134.0,173.0
94,2018-03-11T20:06:44Z,161.4,2257.6,170.52,8046.7,83.6,503.0,13.837981552941176,16.3908,217.0,265.0,172.0
95,2018-03-12T23:48:13Z,161.0,1408.104,179.86666666666667,4828.0199999999995,82.0,323.0,12.719411079545457,21.3624,192.0,244.0,174.0
96,2018-03-14T23:31:16Z,169.0,2199.354,172.50000000000003,2731.51,82.75,167.0,13.826046795827123,29.8944,72.0,116.0,242.0
97,2018-03-17T15:14:20Z,153.5,1848.8609999999999,186.04999999999998,6437.36,82.25,424.0,12.56464013050571,14.544,373.0,354.0,191.0
98,2018-03-18T21:26:58Z,152.5,890.9929999999999,168.8,3218.68,82.0,206.0,12.75455132837407,19.1124,153.0,131.0,179.0
99,2018-03-19T23:43:29Z,158.66666666666666,1370.9009999999998,169.13333333333333,4828.0199999999995,81.0,310.0,13.137804616530156,31.507200000000005,312.0,267.0,185.0
101,2018-03-22T23:51:03Z,128.0,906.73,170.3,2596.86,82.0,168.0,12.943259564164649,16.056,87.0,110.0,241.0
102,2018-03-23T23:04:45Z,162.33333333333334,1283.903,169.86666666666667,5064.8,81.77777777777777,300.0,14.04196423759951,16.729200000000002,125.0,147.0,176.0
